"Category","Number of objects","Objects automatically converted","Objects with simple actions","Objects with medium-complexity actions","Objects with complex actions","Total lines of code"
"CLUSTER","10","10","0","0","0","157"
"DATABASE_LINKS","1","0","0","0","1","4"
"PACKAGE_COLL_TYPE","424","424","0","0","0",""
"PACKAGE_CONSTANT","4757","4757","0","0","0",""
"PACKAGE_CURSOR","9","9","0","0","0",""
"PACKAGE_EXCEPTION","380","380","0","0","0",""
"PACKAGE_VARIABLE","843","843","0","0","0",""
"SCHEDULE","3","3","0","0","0","17"
"PROGRAM","19","19","0","0","0","175"
"JOB","14","14","0","0","0","152"
"SYNONYM","295","295","0","0","0","295"
"SEQUENCE","273","273","0","0","0","1573"
"PACKAGE_PROCEDURE","3922","3744","0","0","178",""
"PACKAGE_FUNCTION","2835","2623","0","0","212",""
"PACKAGE_TYPE","64","64","0","0","0",""
"COLL_TYPE","941","941","0","0","0","1333"
"TYPE","1474","1263","211","0","0","36248"
"PACKAGE","1337","296","1041","0","0","825128"
"FUNCTION","318","101","123","0","94","5472"
"PROCEDURE","159","109","49","0","1","12510"
"MATERIALIZED_VIEW","1","1","0","0","0","41"
"VIEW","5174","5077","0","1","96","109194"
"TRIGGER","598","598","0","0","0","16056"
"INDEX","3198","3198","0","0","0","31561"
"CONSTRAINT","4967","4967","0","0","0","9110"
"TABLE","3765","3765","0","0","0","100098"
"SCHEMA","54","54","0","0","0","53"
"SQL_syntax_elements_number","3007662","","","",""
"The estimated cost is 113,915.75 hours, which equals approximately 14,239.469 man-day(s)."
Enterprise features that are turned on,Tuning Pack
Enterprise features used by this database,Advanced Compression, Bitmapped index, bitmapped join index, and bitmap plan conversions, Materialized View Query Rewrite, Partitioning
RDS features that aren't supported that are turned on,Automatic Storage Management

"Source database: sctuser@dnvqa2dbepp1.corp.nai.org:1521/cprqadb"
"Oracle Database 11g Enterprise Edition 11.2.0.3.0 (64bit Production), Enterprise edition"
