"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity"
"Database link","Schemas.FND_SERVICE.Database Links.SEARCH","1511","","Unable to set custom owner for private database link","Unable to set custom owner for private database link","null","Owner of private DBLink is always current user. Please connect as necessary user and create link manually.","","Complex"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.DELETE_MASK: 83:89","1700","MD$RELATE.DEFINER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MD$RELATE.DEFINER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.DELETE_MASK: 123:130","1700","MD$RELATE.SDO_MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MD$RELATE.SDO_MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.DELETE_MASK: 132:135","1700","DELETE_MASK.MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: DELETE_MASK.MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.DELETE_MASK: 144:148","1700","DELETE_MASK.OWNER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: DELETE_MASK.OWNER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.DELETE_MASK: 273:280","1700","MD$RELATE.SDO_MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MD$RELATE.SDO_MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.DELETE_MASK: 282:285","1700","DELETE_MASK.MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: DELETE_MASK.MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.INSERT_MASK: 130:133","1700","INSERT_MASK.MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: INSERT_MASK.MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.INSERT_MASK: 145:152","1700","INSERT_MASK.RELATION","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: INSERT_MASK.RELATION","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.UPDATE_MASK: 123:129","1700","MD$RELATE.DEFINER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MD$RELATE.DEFINER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.UPDATE_MASK: 163:170","1700","MD$RELATE.SDO_MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MD$RELATE.SDO_MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.UPDATE_MASK: 172:175","1700","UPDATE_MASK.MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_MASK.MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.UPDATE_MASK: 184:188","1700","UPDATE_MASK.OWNER","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_MASK.OWNER","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.UPDATE_MASK: 329:336","1700","UPDATE_MASK.RELATION","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_MASK.RELATION","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.UPDATE_MASK: 345:352","1700","MD$RELATE.SDO_MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: MD$RELATE.SDO_MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_RELATE_MASK.Public procedures.UPDATE_MASK: 354:357","1700","UPDATE_MASK.MASK","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: UPDATE_MASK.MASK","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.ADJUST_FINAL_PID: 177:186","1700","ADJUST_FINAL_PID.P_TAB_NAME","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: ADJUST_FINAL_PID.P_TAB_NAME","null","Try to replace the reference to the object manually.","","Simple"
"Package procedure","Schemas.MDSYS.Packages.SDO_ROUTER_PARTITION.Private procedures.ADJUST_FINAL_PID: 262:265","1700","ADJUST_FINAL_PID.STMT","Unsupported Built-in Object","AWS RDS does not support Oracle built-in object: ADJUST_FINAL_PID.STMT","null","Try to replace the reference to the object manually.","","Simple"
